Reactome,m,proteins
Activation of BAD and translocation to mitochondria ,15,AKT3_HUMAN;BAD_HUMAN;BAD_HUMAN;1433F_HUMAN;1433Z_HUMAN;CANB1_HUMAN;1433E_HUMAN;1433G_HUMAN;BID_HUMAN;PP2BC_HUMAN;1433S_HUMAN;1433B_HUMAN;AKT2_HUMAN;AKT1_HUMAN;1433T_HUMAN;
Activation of BIM and translocation to mitochondria ,2,DYL1_HUMAN;MK08_HUMAN;
Activation of BMF and translocation to mitochondria,2,BMF_HUMAN;DYL2_HUMAN;
Activation of C3 and C5,6,PROP_HUMAN;CO4B_HUMAN;CO4A_HUMAN;CO2_HUMAN;CO5_HUMAN;CO3_HUMAN;
Activation of CaMK IV,1,KCC4_HUMAN;
Activation of Ca-permeable Kainate Receptor,8,DLG3_HUMAN;GRIK5_HUMAN;GRIK4_HUMAN;GRIK3_HUMAN;GRIK2_HUMAN;DLG1_HUMAN;DLG4_HUMAN;NCALD_HUMAN;
Activation of caspases through apoptosome-mediated cleavage,4,CYC_HUMAN;CASP9_HUMAN;CASP7_HUMAN;CASP3_HUMAN;
Activation of DNA fragmentation factor,12,IMB1_HUMAN;H11_HUMAN;IMA5_HUMAN;CASP3_HUMAN;HMGB2_HUMAN;H12_HUMAN;H13_HUMAN;H15_HUMAN;H14_HUMAN;HMGB1_HUMAN;H10_HUMAN;DFFB_HUMAN;
Activation of E2F1 target genes at G1/S,33,FBX5_HUMAN;CDT1_HUMAN;CDC6_HUMAN;LIN37_HUMAN;LIN54_HUMAN;LIN9_HUMAN;LIN52_HUMAN;E2F4_HUMAN;E2F4_HUMAN;E2F5_HUMAN;E2F5_HUMAN;TFDP2_HUMAN;TFDP2_HUMAN;TFDP1_HUMAN;TFDP1_HUMAN;HDAC1_HUMAN;ORC1_HUMAN;RBBP4_HUMAN;RBL2_HUMAN;RBL2_HUMAN;E2F1_HUMAN;E2F1_HUMAN;CCNA1_HUMAN;RIR2_HUMAN;RBL1_HUMAN;CCNE1_HUMAN;PCNA_HUMAN;DPOLA_HUMAN;CDK1_HUMAN;TYSY_HUMAN;KITH_HUMAN;DYR_HUMAN;E2F6_HUMAN;
Activation of G protein gated Potassium channels,24,GBG8_HUMAN;GABR1_HUMAN;GBG12_HUMAN;KCJ16_HUMAN;KCJ15_HUMAN;KCNJ9_HUMAN;KCJ12_HUMAN;KCJ10_HUMAN;KCNJ2_HUMAN;GBG5_HUMAN;GBG3_HUMAN;GBG1_HUMAN;GBB2_HUMAN;GBB1_HUMAN;GBG2_HUMAN;GBG10_HUMAN;GBG4_HUMAN;KCNJ3_HUMAN;KCNJ5_HUMAN;KCNJ6_HUMAN;KCNJ4_HUMAN;GBB3_HUMAN;GABR2_HUMAN;GBG7_HUMAN;
Activation of gene expression by SREBF (SREBP),45,DHCR7_HUMAN;GPAT1_HUMAN;ELOV6_HUMAN;TBL1R_HUMAN;HELZ2_HUMAN;TGS1_HUMAN;CBP_HUMAN;CARM1_HUMAN;SMRD3_HUMAN;CHD9_HUMAN;CP51A_HUMAN;NCOA1_HUMAN;MED1_HUMAN;NCOA2_HUMAN;PMVK_HUMAN;MTF1_HUMAN;NCOA6_HUMAN;ERG1_HUMAN;NFYC_HUMAN;NFYC_HUMAN;IDI1_HUMAN;ACACA_HUMAN;SRBP2_HUMAN;SRBP2_HUMAN;PPARA_HUMAN;KIME_HUMAN;HMCS1_HUMAN;MVD1_HUMAN;FAS_HUMAN;ERG7_HUMAN;FDFT_HUMAN;SRBP1_HUMAN;SRBP1_HUMAN;NFYB_HUMAN;NFYB_HUMAN;NFYA_HUMAN;NFYA_HUMAN;RXRA_HUMAN;FPPS_HUMAN;SP1_HUMAN;GGPPS_HUMAN;ERG24_HUMAN;SC5D_HUMAN;TBL1X_HUMAN;ACOD_HUMAN;
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,15,LY96_HUMAN;TBK1_HUMAN;IRF7_HUMAN;TANK_HUMAN;TCAM1_HUMAN;TCAM2_HUMAN;IRF3_HUMAN;IKKE_HUMAN;TRAF3_HUMAN;PTN11_HUMAN;RL40_HUMAN;RS27A_HUMAN;UBC_HUMAN;UBB_HUMAN;CD14_HUMAN;
Activation of Matrix Metalloproteinases,32,MMP24_HUMAN;MMP17_HUMAN;MMP25_HUMAN;TICN3_HUMAN;CTRB2_HUMAN;TRYB1_HUMAN;MMP16_HUMAN;MMP15_HUMAN;MMP14_HUMAN;MMP13_HUMAN;CATK_HUMAN;COIA1_HUMAN;MMP11_HUMAN;CMA1_HUMAN;MMP8_HUMAN;KLK2_HUMAN;CTRB1_HUMAN;TIMP2_HUMAN;MMP9_HUMAN;FURIN_HUMAN;MMP10_HUMAN;MMP7_HUMAN;CATG_HUMAN;MMP3_HUMAN;MMP2_HUMAN;ELNE_HUMAN;TRY2_HUMAN;TRY1_HUMAN;MMP1_HUMAN;KLKB1_HUMAN;TIMP1_HUMAN;PLMN_HUMAN;
Activation of Na-permeable kainate receptors,1,GRIK2_HUMAN;
Activation of NF-kappaB in B cells,72,NEMO_HUMAN;NEMO_HUMAN;FBW1A_HUMAN;PSD13_HUMAN;PSME2_HUMAN;FBW1B_HUMAN;MALT1_HUMAN;MALT1_HUMAN;CAR11_HUMAN;CAR11_HUMAN;PSMD1_HUMAN;PSB7_HUMAN;PSMF1_HUMAN;PSA7L_HUMAN;PSMD5_HUMAN;IKBB_HUMAN;PSMD6_HUMAN;PSME4_HUMAN;CUL1_HUMAN;PSMD2_HUMAN;PSME1_HUMAN;REL_HUMAN;TF65_HUMAN;SKP1_HUMAN;RL40_HUMAN;RS27A_HUMAN;PRS10_HUMAN;PRS8_HUMAN;PRS4_HUMAN;PSME3_HUMAN;PSA6_HUMAN;DSS1_HUMAN;PSMD4_HUMAN;PSMD7_HUMAN;PSB2_HUMAN;PSB3_HUMAN;PSMD8_HUMAN;PRS6B_HUMAN;PSB10_HUMAN;PRS7_HUMAN;PSB5_HUMAN;PSB6_HUMAN;PSB4_HUMAN;PSA5_HUMAN;PSB9_HUMAN;PSB8_HUMAN;IKBA_HUMAN;PSA4_HUMAN;PSA3_HUMAN;PSA2_HUMAN;PSA1_HUMAN;PSB1_HUMAN;NFKB1_HUMAN;PRS6A_HUMAN;UBC_HUMAN;UBB_HUMAN;KPCB_HUMAN;BCL10_HUMAN;BCL10_HUMAN;PSD10_HUMAN;M3K7_HUMAN;PSMD3_HUMAN;IKKA_HUMAN;IKKA_HUMAN;IKKB_HUMAN;IKKB_HUMAN;PSA7_HUMAN;PSDE_HUMAN;PSMD9_HUMAN;PSD12_HUMAN;PSD11_HUMAN;IKBE_HUMAN;
"Activation of NIMA Kinases NEK9, NEK6, NEK7",6,NEK6_HUMAN;NEK7_HUMAN;NEK9_HUMAN;PLK1_HUMAN;CCNB1_HUMAN;CDK1_HUMAN;
Activation of NOXA and translocation to mitochondria,4,TFDP2_HUMAN;TFDP1_HUMAN;APR_HUMAN;E2F1_HUMAN;
Activation of PPARGC1A (PGC-1alpha) by phosphorylation,9,AAKB1_HUMAN;AAKG2_HUMAN;AAKG3_HUMAN;PRGC1_HUMAN;MK14_HUMAN;MK11_HUMAN;AAPK2_HUMAN;AAKG1_HUMAN;MK12_HUMAN;
Activation of PUMA and translocation to mitochondria,8,P63_HUMAN;BBC3_HUMAN;ASPP1_HUMAN;TFDP2_HUMAN;TFDP1_HUMAN;ASPP2_HUMAN;E2F1_HUMAN;P53_HUMAN;
Activation of RAC1,12,ROBO1_HUMAN;PAK7_HUMAN;PAK6_HUMAN;PAK2_HUMAN;PAK1_HUMAN;SOS2_HUMAN;SOS1_HUMAN;RAC1_HUMAN;NCK1_HUMAN;PAK4_HUMAN;SLIT2_HUMAN;PAK3_HUMAN;
Activation of RAS in B cells,6,GRP3_HUMAN;GRP3_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;GRP1_HUMAN;
Activation of SMO,25,KIF3A_HUMAN;KIF3A_HUMAN;BOC_HUMAN;SMO_HUMAN;SMO_HUMAN;LBN_HUMAN;LBN_HUMAN;IQCE_HUMAN;CDON_HUMAN;SHH_HUMAN;IHH_HUMAN;PTC1_HUMAN;EVC_HUMAN;EVC_HUMAN;GAS1_HUMAN;ARRB1_HUMAN;ARRB1_HUMAN;KC1A_HUMAN;KC1A_HUMAN;ARRB2_HUMAN;ARRB2_HUMAN;ARBK1_HUMAN;ARBK1_HUMAN;GAS8_HUMAN;DHH_HUMAN;
Activation of the AP-1 family of transcription factors,9,MK14_HUMAN;MK11_HUMAN;MK10_HUMAN;MK09_HUMAN;MK08_HUMAN;MK01_HUMAN;MK03_HUMAN;ATF2_HUMAN;JUN_HUMAN;
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",6,IF4H_HUMAN;IF4A2_HUMAN;4EBP1_HUMAN;IF4G1_HUMAN;IF4A1_HUMAN;IF4B_HUMAN;
Activation of the phototransduction cascade,17,CNGB1_HUMAN;GBG1_HUMAN;GBG1_HUMAN;GBB1_HUMAN;GBB1_HUMAN;PDE6B_HUMAN;PDE6B_HUMAN;CNGA1_HUMAN;CNRG_HUMAN;CNRG_HUMAN;PDE6A_HUMAN;PDE6A_HUMAN;GNAT1_HUMAN;GNAT1_HUMAN;ARRS_HUMAN;OPSD_HUMAN;OPSD_HUMAN;
Activation of the pre-replicative complex,32,ORC6_HUMAN;MCM8_HUMAN;DBF4A_HUMAN;ORC3_HUMAN;DPOE3_HUMAN;DPOE4_HUMAN;CDT1_HUMAN;CDC6_HUMAN;MCM10_HUMAN;MCM6_HUMAN;DPOA2_HUMAN;ORC2_HUMAN;ORC1_HUMAN;RFA4_HUMAN;DPOE1_HUMAN;DPOE2_HUMAN;MCM2_HUMAN;PRI2_HUMAN;PRI1_HUMAN;RFA3_HUMAN;MCM7_HUMAN;MCM5_HUMAN;MCM4_HUMAN;RFA1_HUMAN;MCM3_HUMAN;CDK2_HUMAN;RFA2_HUMAN;DPOLA_HUMAN;GEMI_HUMAN;CDC45_HUMAN;ORC4_HUMAN;ORC5_HUMAN;
Activation of the TFAP2 (AP-2) family of transcription factors,11,WWOX_HUMAN;CITE2_HUMAN;CITE1_HUMAN;CITE4_HUMAN;CBP_HUMAN;AP2C_HUMAN;AP2B_HUMAN;AP2D_HUMAN;AP2E_HUMAN;EP300_HUMAN;AP2A_HUMAN;
"Activation, myristolyation of BID and translocation to mitochondria",3,CASP8_HUMAN;BID_HUMAN;NMT1_HUMAN;
"Activation, translocation and oligomerization of BAX",1,BAX_HUMAN;
Acyl chain remodeling of CL,5,LCLT1_HUMAN;TAZ_HUMAN;ECHB_HUMAN;PA24A_HUMAN;ECHA_HUMAN;
Acyl chain remodeling of DAG and TAG,7,PLPL3_HUMAN;MGLL_HUMAN;DGAT2_HUMAN;PLPL2_HUMAN;DG2L6_HUMAN;DG2L7_HUMAN;AWAT2_HUMAN;
Acyl chain remodelling of PC,26,PA24C_HUMAN;PA2GD_HUMAN;PA2GE_HUMAN;PA2G3_HUMAN;PLPL8_HUMAN;PA2GF_HUMAN;PG12A_HUMAN;PCAT1_HUMAN;TM86B_HUMAN;PA24D_HUMAN;PCAT2_HUMAN;MBOA2_HUMAN;PLBL1_HUMAN;PLB1_HUMAN;MBOA5_HUMAN;PA24F_HUMAN;LPCT4_HUMAN;PA24E_HUMAN;PLA2R_HUMAN;HRSL3_HUMAN;PA24A_HUMAN;PA2G5_HUMAN;PA2GA_HUMAN;PA24B_HUMAN;PA21B_HUMAN;PLPL9_HUMAN;
Acyl chain remodelling of PE,28,PA24C_HUMAN;PA2GD_HUMAN;HRSL4_HUMAN;PA2GE_HUMAN;PA2G3_HUMAN;HRSL2_HUMAN;PLPL8_HUMAN;HRSL1_HUMAN;PA2GF_HUMAN;PG12A_HUMAN;HRSL5_HUMAN;ABHD4_HUMAN;PA24D_HUMAN;MBOA2_HUMAN;MBOA1_HUMAN;PLBL1_HUMAN;MBOA5_HUMAN;PA24F_HUMAN;LPCT4_HUMAN;PA24E_HUMAN;PLA2R_HUMAN;HRSL3_HUMAN;PA24A_HUMAN;PA2G5_HUMAN;PA2GA_HUMAN;PA24B_HUMAN;PA21B_HUMAN;PLPL9_HUMAN;
Acyl chain remodelling of PG,17,PA2GD_HUMAN;CRLS1_HUMAN;PA2GE_HUMAN;PA2G3_HUMAN;PA2GF_HUMAN;PG12A_HUMAN;LGAT1_HUMAN;PCAT1_HUMAN;PA24D_HUMAN;PA24F_HUMAN;LPCT4_HUMAN;PLA2R_HUMAN;PA24A_HUMAN;PA2G5_HUMAN;PA2GA_HUMAN;PA24B_HUMAN;PA21B_HUMAN;
Acyl chain remodelling of PI,16,PA24C_HUMAN;PA2GD_HUMAN;PA2GE_HUMAN;PA2GF_HUMAN;PG12A_HUMAN;MBOA7_HUMAN;PA24D_HUMAN;PLBL1_HUMAN;PA24F_HUMAN;PA24E_HUMAN;PLA2R_HUMAN;HRSL3_HUMAN;PA24A_HUMAN;PA2G5_HUMAN;PA2GA_HUMAN;PA21B_HUMAN;
Acyl chain remodelling of PS,21,PA2GD_HUMAN;PA2GE_HUMAN;OSBL5_HUMAN;PA2GF_HUMAN;PG12A_HUMAN;OSBL8_HUMAN;OSB10_HUMAN;PA24D_HUMAN;MBOA1_HUMAN;MBOA5_HUMAN;PA24F_HUMAN;LPCT4_HUMAN;PLA1A_HUMAN;PA24E_HUMAN;PLA2R_HUMAN;HRSL3_HUMAN;PA24A_HUMAN;PA2G5_HUMAN;PA2GA_HUMAN;PA24B_HUMAN;PA21B_HUMAN;
Adenosine P1 receptors,2,AA1R_HUMAN;AA2BR_HUMAN;
Adenylate cyclase activating pathway,9,ADCY4_HUMAN;ADCY1_HUMAN;ADCY2_HUMAN;ADCY7_HUMAN;ADCY8_HUMAN;GNAL_HUMAN;ADCY5_HUMAN;ADCY9_HUMAN;ADCY3_HUMAN;
Adenylate cyclase inhibitory pathway,26,ADCY4_HUMAN;ADCY4_HUMAN;ADCY1_HUMAN;ADCY1_HUMAN;ADCY2_HUMAN;ADCY2_HUMAN;GNAI1_HUMAN;GNAI1_HUMAN;ADCY7_HUMAN;ADCY7_HUMAN;ADCY8_HUMAN;ADCY8_HUMAN;GNAL_HUMAN;GNAI3_HUMAN;GNAI3_HUMAN;GNAI2_HUMAN;GNAI2_HUMAN;ADCY5_HUMAN;ADCY5_HUMAN;ADCY9_HUMAN;ADCY9_HUMAN;ADCY3_HUMAN;ADCY3_HUMAN;ADCY6_HUMAN;ADCY6_HUMAN;GNAT3_HUMAN;
