pathway,m,proteins
Validated targets of C-MYC transcriptional activation,79,MYC_HUMAN;BAX_HUMAN;KITH_HUMAN;SMAD3_HUMAN;RUVB2_HUMAN;TAF9_HUMAN;HMGA1_HUMAN;DDX18_HUMAN;NUCL_HUMAN;KAT5_HUMAN;ENOA_HUMAN;K6PF_HUMAN;MPIP1_HUMAN;E2F3_HUMAN;PRDX3_HUMAN;DCOR_HUMAN;PTMA_HUMAN;SNAI1_HUMAN;KAT2A_HUMAN;NEUS_HUMAN;HS90A_HUMAN;MMP9_HUMAN;MAX_HUMAN;LN28B_HUMAN;NPM_HUMAN;NDKA_HUMAN;RL11_HUMAN;PIM1_HUMAN;TERT_HUMAN;RUVB1_HUMAN;CH60_HUMAN;TAF10_HUMAN;BMI1_HUMAN;GTR1_HUMAN;TAF12_HUMAN;BIRC5_HUMAN;BCAT1_HUMAN;KI3L1_HUMAN;ST65G_HUMAN;TAF4B_HUMAN;LDHA_HUMAN;TRRAP_HUMAN;IREB2_HUMAN;P53_HUMAN;PYR1_HUMAN;LYRIC_HUMAN;FOSL1_HUMAN;GPAT1_HUMAN;SMAD4_HUMAN;G3P_HUMAN;HSP74_HUMAN;SUPT3_HUMAN;CDK4_HUMAN;EP300_HUMAN;RPC4_HUMAN;GLYC_HUMAN;CBP_HUMAN;CCND2_HUMAN;PEG10_HUMAN;ID2_HUMAN;IF4G1_HUMAN;NBN_HUMAN;MYCT1_HUMAN;PDC10_HUMAN;MINA_HUMAN;MIMIT_HUMAN;APR_HUMAN;HUWE1_HUMAN;ACL6A_HUMAN;RCC1_HUMAN;NDKB_HUMAN;CCNB1_HUMAN;CDCA7_HUMAN;UBF1_HUMAN;TFR1_HUMAN;IF4A1_HUMAN;IF4E_HUMAN;MTA1_HUMAN;IF2A_HUMAN;
Integrins in angiogenesis,75,OSTP_HUMAN;CODA1_HUMAN;CO9A3_HUMAN;VGFR2_HUMAN;PK3CA_HUMAN;CO4A3_HUMAN;VINC_HUMAN;CASP8_HUMAN;COBA1_HUMAN;IRS1_HUMAN;CO6A2_HUMAN;ILK_HUMAN;COGA1_HUMAN;JAM1_HUMAN;COBA2_HUMAN;CO5A1_HUMAN;RHOA_HUMAN;CO6A1_HUMAN;FAK2_HUMAN;ANGL3_HUMAN;VAV3_HUMAN;CO4A4_HUMAN;GP124_HUMAN;EDIL3_HUMAN;AKT1_HUMAN;PI4KB_HUMAN;FGF2_HUMAN;P3C2A_HUMAN;CO4A6_HUMAN;CSF1R_HUMAN;TLN1_HUMAN;CO9A2_HUMAN;CO8A1_HUMAN;PAXI_HUMAN;CO3A1_HUMAN;CO4A5_HUMAN;TGFR2_HUMAN;COCA1_HUMAN;CO1A1_HUMAN;MK01_HUMAN;CO7A1_HUMAN;CO6A3_HUMAN;CO2A1_HUMAN;CSF1_HUMAN;PI4KA_HUMAN;CO1A2_HUMAN;CO8A2_HUMAN;COAA1_HUMAN;BCAR1_HUMAN;COEA1_HUMAN;FINC_HUMAN;MK03_HUMAN;COFA1_HUMAN;CO4A1_HUMAN;HS90A_HUMAN;P85A_HUMAN;KS6B1_HUMAN;VEGFA_HUMAN;CO9A1_HUMAN;RAC1_HUMAN;IGF1_HUMAN;PTN11_HUMAN;CO5A2_HUMAN;SRC_HUMAN;ITAV_HUMAN;;CBL_HUMAN;CDN1B_HUMAN;COHA1_HUMAN;MFGM_HUMAN;ROCK1_HUMAN;IGF1R_HUMAN;SDC1_HUMAN;ITB3_HUMAN;VTNC_HUMAN;
E2F transcription factor network,74,E2F1_HUMAN;RBBP4_HUMAN;ATM_HUMAN;CEBPA_HUMAN;CBX5_HUMAN;CBP_HUMAN;TYY1_HUMAN;MYC_HUMAN;DPOLA_HUMAN;E2F7_HUMAN;HIC1_HUMAN;RYBP_HUMAN;RIR2_HUMAN;KAT2B_HUMAN;UXT_HUMAN;RB_HUMAN;CDK2_HUMAN;WASF1_HUMAN;HDAC1_HUMAN;MCL1_HUMAN;CDC6_HUMAN;E2F5_HUMAN;RBL1_HUMAN;EST5A_HUMAN;CDK1_HUMAN;UROK_HUMAN;EP300_HUMAN;KAT2A_HUMAN;HBP1_HUMAN;ST2A1_HUMAN;E2F2_HUMAN;RBL2_HUMAN;EST1_HUMAN;CCNE1_HUMAN;MYBB_HUMAN;EST3_HUMAN;TOPB1_HUMAN;SMCA2_HUMAN;E2F3_HUMAN;EST4A_HUMAN;EST2_HUMAN;TIF1B_HUMAN;CES1P_HUMAN;MPIP1_HUMAN;E2F6_HUMAN;CCND3_HUMAN;CDN1A_HUMAN;RANG_HUMAN;BRCA1_HUMAN;P73_HUMAN;XRCC1_HUMAN;PAI1_HUMAN;RIR1_HUMAN;CDN2C_HUMAN;ORC1_HUMAN;CDN1B_HUMAN;CCNE2_HUMAN;TFDP2_HUMAN;DYR_HUMAN;KITH_HUMAN;APAF_HUMAN;CCNA2_HUMAN;CASP7_HUMAN;SP1_HUMAN;SIR1_HUMAN;TRRAP_HUMAN;ANM5_HUMAN;TFE3_HUMAN;;TYSY_HUMAN;MCM3_HUMAN;COM1_HUMAN;E2F4_HUMAN;TFDP1_HUMAN;
AP-1 transcription factor network,71,IL2_HUMAN;FOSL2_HUMAN;BAG1_HUMAN;IFNG_HUMAN;MAFG_HUMAN;TY3H_HUMAN;DMP1_HUMAN;IL4_HUMAN;CCL2_HUMAN;ANF_HUMAN;CYR61_HUMAN;DUS1_HUMAN;SP1_HUMAN;FABP4_HUMAN;JUNB_HUMAN;TGFB1_HUMAN;ELF1_HUMAN;IL10_HUMAN;FOSB_HUMAN;ATF3_HUMAN;ETS1_HUMAN;GCR_HUMAN;TF7L2_HUMAN;CRTC1_HUMAN;CSF2_HUMAN;HIF1A_HUMAN;ACTS_HUMAN;ATF2_HUMAN;MYC_HUMAN;JUND_HUMAN;PENK_HUMAN;FOSL1_HUMAN;CDN1B_HUMAN;EDN1_HUMAN;FOS_HUMAN;IL5_HUMAN;NEUT_HUMAN;EP300_HUMAN;DMTF1_HUMAN;CXA1_HUMAN;JUN_HUMAN;CSN5_HUMAN;CO1A2_HUMAN;;PEBB_HUMAN;1A03_HUMAN;CCND1_HUMAN;GATA2_HUMAN;IL8_HUMAN;CDK1_HUMAN;TIMP1_HUMAN;NFAC2_HUMAN;MAF_HUMAN;P53_HUMAN;NFAC3_HUMAN;IL6_HUMAN;UROK_HUMAN;B2L11_HUMAN;MMP9_HUMAN;TRIP6_HUMAN;MT2_HUMAN;CREB1_HUMAN;MYB_HUMAN;MMP1_HUMAN;PTEN_HUMAN;CTNB1_HUMAN;ESR1_HUMAN;NFAC1_HUMAN;;ANGT_HUMAN;EGR1_HUMAN;
CDC42 signaling events,70,GDIR1_HUMAN;PLD1_HUMAN;DIAP3_HUMAN;MK08_HUMAN;PAR3_HUMAN;APC_HUMAN;ACK1_HUMAN;MTOR_HUMAN;MP2K3_HUMAN;PK3CA_HUMAN;EPS8_HUMAN;KPCE_HUMAN;PAK2_HUMAN;TIAM1_HUMAN;MRCKA_HUMAN;VAV2_HUMAN;CTNA1_HUMAN;HES5_HUMAN;KS6B1_HUMAN;MK01_HUMAN;ENAH_HUMAN;MLRV_HUMAN;SRC_HUMAN;LIMK1_HUMAN;MK09_HUMAN;ARP2_HUMAN;BCAR1_HUMAN;ARHG6_HUMAN;IQGA3_HUMAN;ARHG7_HUMAN;MK03_HUMAN;ARPC5_HUMAN;KPCZ_HUMAN;ATF2_HUMAN;PAK4_HUMAN;MP2K4_HUMAN;ARC1B_HUMAN;WASL_HUMAN;ARPC3_HUMAN;MP2K6_HUMAN;PAK1_HUMAN;JUN_HUMAN;RAC1_HUMAN;GSK3B_HUMAN;M3K11_HUMAN;CADH1_HUMAN;YES_HUMAN;BRAF_HUMAN;RGRF1_HUMAN;M3K1_HUMAN;PAR6A_HUMAN;ARPC2_HUMAN;DLG1_HUMAN;ARP3_HUMAN;CTNB1_HUMAN;RAF1_HUMAN;PAX6_HUMAN;LIMK2_HUMAN;P85A_HUMAN;ARPC4_HUMAN;MP2K7_HUMAN;RASH_HUMAN;CDC42_HUMAN;COF1_HUMAN;MK14_HUMAN;BAIP2_HUMAN;IQGA1_HUMAN;SEPT2_HUMAN;CBL_HUMAN;EXOC7_HUMAN;
mTOR signaling pathway,70,AKTS1_HUMAN;;FBW1B_HUMAN;RRAGA_HUMAN;CLIP1_HUMAN;DPTOR_HUMAN;CCNE1_HUMAN;PML_HUMAN;KS6B1_HUMAN;PAXI_HUMAN;MK01_HUMAN;SIN1_HUMAN;1433G_HUMAN;EF2K_HUMAN;PLD2_HUMAN;MP2K2_HUMAN;PDIP3_HUMAN;ULK1_HUMAN;BRAF_HUMAN;PRGC1_HUMAN;IF4B_HUMAN;ATG13_HUMAN;TSC2_HUMAN;1433Z_HUMAN;PDCD4_HUMAN;1433T_HUMAN;4EBP1_HUMAN;SSPO_HUMAN;SGK1_HUMAN;IF4E_HUMAN;RASH_HUMAN;KPCA_HUMAN;BNIP3_HUMAN;ULK2_HUMAN;KS6A1_HUMAN;TYY1_HUMAN;PRR5_HUMAN;RAC1_HUMAN;1433F_HUMAN;MK03_HUMAN;CYC_HUMAN;PDPK1_HUMAN;RAF1_HUMAN;IF4A1_HUMAN;SRBP1_HUMAN;RRAGD_HUMAN;TSC1_HUMAN;RHOA_HUMAN;;IKKB_HUMAN;RPTOR_HUMAN;MP2K1_HUMAN;RICTR_HUMAN;CDK2_HUMAN;RHEB_HUMAN;LST8_HUMAN;RRAGC_HUMAN;RASN_HUMAN;DDIT4_HUMAN;1433S_HUMAN;RRN3_HUMAN;RRAGB_HUMAN;MTOR_HUMAN;PLD1_HUMAN;RBCC1_HUMAN;EF2_HUMAN;AKT1_HUMAN;1433E_HUMAN;IRS1_HUMAN;1433B_HUMAN;
Regulation of Telomerase,70,RAD1_HUMAN;KS6B1_HUMAN;ESR1_HUMAN;IRF1_HUMAN;CDN1B_HUMAN;EGFR_HUMAN;MK01_HUMAN;PIF1_HUMAN;SMG5_HUMAN;TERF2_HUMAN;ATM_HUMAN;1433E_HUMAN;NBN_HUMAN;IL2_HUMAN;FOS_HUMAN;;UBE3A_HUMAN;;WRN_HUMAN;WT1_HUMAN;HDAC2_HUMAN;RBBP7_HUMAN;E2F1_HUMAN;RAD50_HUMAN;NFKB1_HUMAN;MYC_HUMAN;TEBP_HUMAN;RBBP4_HUMAN;MK03_HUMAN;MRE11_HUMAN;COT2_HUMAN;SIN3B_HUMAN;EGF_HUMAN;SP3_HUMAN;JUN_HUMAN;MAD1_HUMAN;HUS1_HUMAN;SMAD3_HUMAN;MAX_HUMAN;HS90A_HUMAN;CCND1_HUMAN;POTE1_HUMAN;TNKS1_HUMAN;PINX1_HUMAN;NUCL_HUMAN;MTOR_HUMAN;TERF1_HUMAN;BLM_HUMAN;SAP18_HUMAN;DKC1_HUMAN;ACD_HUMAN;TINF2_HUMAN;XRCC5_HUMAN;SP1_HUMAN;AKT1_HUMAN;IFNG_HUMAN;;HDAC1_HUMAN;XRCC6_HUMAN;HNRPC_HUMAN;INAR2_HUMAN;TERT_HUMAN;TGFB1_HUMAN;ABL1_HUMAN;RAD9A_HUMAN;SIN3A_HUMAN;PARP2_HUMAN;TE2IP_HUMAN;EST1A_HUMAN;SAP30_HUMAN;
Signaling events mediated by VEGFR1 and VEGFR2,70,CTNB1_HUMAN;KPCD_HUMAN;FBW1B_HUMAN;KKCC2_HUMAN;NCK2_HUMAN;FES_HUMAN;MK11_HUMAN;MAPK2_HUMAN;KPCA_HUMAN;RAF1_HUMAN;MYOF_HUMAN;;PAK2_HUMAN;HS90B_HUMAN;;PTPRJ_HUMAN;GRB10_HUMAN;VGFR1_HUMAN;SH22A_HUMAN;KAPCA_HUMAN;MK03_HUMAN;VTNC_HUMAN;ARF1_HUMAN;RHOA_HUMAN;;HS90A_HUMAN;CALM_HUMAN;MK14_HUMAN;MP2K3_HUMAN;AAKB1_HUMAN;AKAP1_HUMAN;GRB2_HUMAN;GAB1_HUMAN;MP2K6_HUMAN;HGS_HUMAN;PTN11_HUMAN;PAXI_HUMAN;VINC_HUMAN;NEDD4_HUMAN;CBL_HUMAN;ITAV_HUMAN;SHB_HUMAN;PDPK1_HUMAN;AAKG1_HUMAN;CADH5_HUMAN;MP2K1_HUMAN;CAV1_HUMAN;SRC_HUMAN;;MP2K2_HUMAN;PTN6_HUMAN;VGFR2_HUMAN;PLCG1_HUMAN;FAK2_HUMAN;PK3CA_HUMAN;BRAF_HUMAN;AAPK2_HUMAN;MK01_HUMAN;ROCK1_HUMAN;DYN2_HUMAN;AKT1_HUMAN;AAPK1_HUMAN;CTNA1_HUMAN;NCK1_HUMAN;P85A_HUMAN;NOS3_HUMAN;ITB3_HUMAN;CDC42_HUMAN;FYN_HUMAN;IQGA1_HUMAN;
Beta1 integrin cell surface interactions,69,ITA3_HUMAN;ITA9_HUMAN;CO4A4_HUMAN;IGSF8_HUMAN;CO5A1_HUMAN;COBA1_HUMAN;ITA7_HUMAN;CD81_HUMAN;NID1_HUMAN;VTNC_HUMAN;BGH3_HUMAN;UROK_HUMAN;LAMB1_HUMAN;CO4A1_HUMAN;ITB1_HUMAN;CO7A1_HUMAN;LAMA4_HUMAN;LAMA1_HUMAN;ITA5_HUMAN;CO6A2_HUMAN;;TSP2_HUMAN;UPAR_HUMAN;CO2A1_HUMAN;CO4A5_HUMAN;ITA10_HUMAN;CO1A1_HUMAN;LAMA2_HUMAN;CO5A2_HUMAN;OSTP_HUMAN;COIA1_HUMAN;LAMC1_HUMAN;ITA4_HUMAN;CO4A3_HUMAN;VCAM1_HUMAN;CD14_HUMAN;CO3A1_HUMAN;TSP1_HUMAN;ITA11_HUMAN;CO1A2_HUMAN;LAMC2_HUMAN;LAMA3_HUMAN;CSPG4_HUMAN;FIBA_HUMAN;CO6A1_HUMAN;LAMB3_HUMAN;FBN1_HUMAN;MK_HUMAN;FINC_HUMAN;ITA1_HUMAN;;ITAV_HUMAN;CO4A6_HUMAN;LAMA5_HUMAN;FIBB_HUMAN;CO6A3_HUMAN;TGM2_HUMAN;;F13A_HUMAN;ITA2_HUMAN;LAMB2_HUMAN;JAM2_HUMAN;FIBG_HUMAN;ITA6_HUMAN;COBA2_HUMAN;TENA_HUMAN;ITA8_HUMAN;;NPNT_HUMAN;
p75(NTR)-mediated signaling,69,MK10_HUMAN;IKKA_HUMAN;SORT_HUMAN;APH1A_HUMAN;B2L11_HUMAN;NECD_HUMAN;MAG_HUMAN;CASP6_HUMAN;MAGG1_HUMAN;E2F1_HUMAN;NGF_HUMAN;BIRC2_HUMAN;CASP3_HUMAN;MK09_HUMAN;PRDM4_HUMAN;MAGD1_HUMAN;APAF_HUMAN;NTF4_HUMAN;RHOA_HUMAN;NEMO_HUMAN;BEX1_HUMAN;CYC_HUMAN;AKT1_HUMAN;MYD88_HUMAN;PSN1_HUMAN;LIGO1_HUMAN;IRAK1_HUMAN;RTN4R_HUMAN;SQSTM_HUMAN;RTN4_HUMAN;P53_HUMAN;PK3CA_HUMAN;ADA17_HUMAN;;MMP3_HUMAN;;MMP7_HUMAN;BIRC3_HUMAN;PLMN_HUMAN;RHOC_HUMAN;BAD_HUMAN;A4_HUMAN;IKKB_HUMAN;SHC1_HUMAN;BEX3_HUMAN;GDIR1_HUMAN;BDNF_HUMAN;FURIN_HUMAN;KPCZ_HUMAN;NSMA_HUMAN;XIAP_HUMAN;RIPK2_HUMAN;CASP9_HUMAN;OMGP_HUMAN;ZN274_HUMAN;APH1B_HUMAN;DBLOH_HUMAN;NTF3_HUMAN;PEN2_HUMAN;KPCI_HUMAN;TNR16_HUMAN;TRAF6_HUMAN;NICA_HUMAN;MAGH1_HUMAN;MK08_HUMAN;P85A_HUMAN;RHOB_HUMAN;1433E_HUMAN;RAC1_HUMAN;
LPA receptor mediated events,68,BCAR1_HUMAN;PLCB3_HUMAN;GNAI3_HUMAN;GSK3B_HUMAN;TF65_HUMAN;FAK1_HUMAN;ADCY1_HUMAN;LYN_HUMAN;ADCY7_HUMAN;PLD2_HUMAN;GNA12_HUMAN;GNAO_HUMAN;RASH_HUMAN;ADCY4_HUMAN;ADCY2_HUMAN;IKBA_HUMAN;NFKB1_HUMAN;ADCY8_HUMAN;EGFR_HUMAN;LPAR3_HUMAN;LPAR1_HUMAN;;LPAR4_HUMAN;ADA1B_HUMAN;GBB1_HUMAN;CRK_HUMAN;;KPCD_HUMAN;IL6_HUMAN;AKT1_HUMAN;PLCG1_HUMAN;TIAM1_HUMAN;ARHG1_HUMAN;GNA14_HUMAN;GNA11_HUMAN;LPAR2_HUMAN;ADCY9_HUMAN;RHOA_HUMAN;MMP9_HUMAN;GNAZ_HUMAN;GNAO_HUMAN;PK3CB_HUMAN;MMP2_HUMAN;P85A_HUMAN;GNAI1_HUMAN;FAK2_HUMAN;KPCE_HUMAN;PAXI_HUMAN;KPCD1_HUMAN;FOS_HUMAN;IL8_HUMAN;GAB1_HUMAN;ADCY6_HUMAN;JUN_HUMAN;RAC1_HUMAN;GNAI2_HUMAN;ADCY5_HUMAN;GNA13_HUMAN;GNAQ_HUMAN;TAU_HUMAN;ADCY3_HUMAN;HBEGF_HUMAN;CASP3_HUMAN;GNA15_HUMAN;SRC_HUMAN;GBG2_HUMAN;TRIP6_HUMAN;NHRF2_HUMAN;
Downstream signaling in na&#xef;ve CD8+ T cells,67,RASN_HUMAN;CD3G_HUMAN;1A03_HUMAN;KPCB_HUMAN;IFNA6_HUMAN;CD8B_HUMAN;PERF_HUMAN;TNR4_HUMAN;IL2RB_HUMAN;MP2K2_HUMAN;IL2_HUMAN;EGR1_HUMAN;IFN17_HUMAN;GRAB_HUMAN;IFNA4_HUMAN;TNFL6_HUMAN;STAT4_HUMAN;PP2BA_HUMAN;RASH_HUMAN;EGR4_HUMAN;CD8A_HUMAN;KPCE_HUMAN;TNFA_HUMAN;NFAC1_HUMAN;FOSL1_HUMAN;PP2BB_HUMAN;ELK1_HUMAN;IFNA5_HUMAN;IFNG_HUMAN;INAR2_HUMAN;JUN_HUMAN;IL2RG_HUMAN;KPCT_HUMAN;;RAF1_HUMAN;TNR9_HUMAN;CANB1_HUMAN;NFAC2_HUMAN;MK03_HUMAN;MK08_HUMAN;FOS_HUMAN;;MK01_HUMAN;CD3D_HUMAN;IFN21_HUMAN;NFAC3_HUMAN;IFNA2_HUMAN;INAR1_HUMAN;CD3E_HUMAN;MK09_HUMAN;IFN16_HUMAN;CD3Z_HUMAN;JUNB_HUMAN;IFN14_HUMAN;CALM_HUMAN;BRAF_HUMAN;IFNA1_HUMAN;MP2K1_HUMAN;PTN7_HUMAN;EOMES_HUMAN;KPCA_HUMAN;IFN10_HUMAN;IFNA7_HUMAN;IL2RA_HUMAN;TNR18_HUMAN;B2MG_HUMAN;IFNA8_HUMAN;
TCR signaling in na&#xef;ve CD4+ T cells,67,SHC1_HUMAN;GRP1_HUMAN;AKT1_HUMAN;CD3D_HUMAN;2B11_HUMAN;RASH_HUMAN;IKKB_HUMAN;KPCA_HUMAN;CD86_HUMAN;GRP2_HUMAN;3BP2_HUMAN;TRAF6_HUMAN;NEMO_HUMAN;ZAP70_HUMAN;PTN6_HUMAN;RASN_HUMAN;CBL_HUMAN;CRCM1_HUMAN;WASP_HUMAN;FYN_HUMAN;KPCB_HUMAN;CD3E_HUMAN;NCK1_HUMAN;IKKA_HUMAN;PHAG1_HUMAN;CSK_HUMAN;FLNA_HUMAN;BCL10_HUMAN;SLAP2_HUMAN;DRA_HUMAN;GAB2_HUMAN;PLCG1_HUMAN;RAP1A_HUMAN;;LCK_HUMAN;RASF5_HUMAN;LCP2_HUMAN;GRB2_HUMAN;;CD80_HUMAN;GRAP2_HUMAN;M3K14_HUMAN;CD3G_HUMAN;PTPRC_HUMAN;;KPCT_HUMAN;PTN11_HUMAN;CD28_HUMAN;FYB_HUMAN;CD4_HUMAN;STK39_HUMAN;PTEN_HUMAN;ITK_HUMAN;CAR11_HUMAN;M3K8_HUMAN;KPCE_HUMAN;M4K1_HUMAN;VAV_HUMAN;TRPV6_HUMAN;CDC42_HUMAN;DBNL_HUMAN;PDPK1_HUMAN;CD3Z_HUMAN;SOS1_HUMAN;SHIP1_HUMAN;MALT1_HUMAN;STIM1_HUMAN;
BCR signaling pathway,66,NEMO_HUMAN;BCL10_HUMAN;BLNK_HUMAN;PTPRC_HUMAN;RASH_HUMAN;PHAG1_HUMAN;PP2BA_HUMAN;VAV2_HUMAN;CD19_HUMAN;IKBB_HUMAN;DAPP1_HUMAN;RASA1_HUMAN;B2LA1_HUMAN;PDPK1_HUMAN;GRB2_HUMAN;DOK1_HUMAN;CD79A_HUMAN;PTN6_HUMAN;SOS1_HUMAN;PTEN_HUMAN;MK03_HUMAN;AKT1_HUMAN;IKKA_HUMAN;CD72_HUMAN;MK08_HUMAN;PK3CA_HUMAN;PP2BC_HUMAN;M4K1_HUMAN;TRAF6_HUMAN;;IKKB_HUMAN;LYN_HUMAN;M3K7_HUMAN;CAR11_HUMAN;NFAC1_HUMAN;NFKB1_HUMAN;CALM_HUMAN;CSK21_HUMAN;P85A_HUMAN;PP2BB_HUMAN;KCC2G_HUMAN;SHIP1_HUMAN;ETS1_HUMAN;CD22_HUMAN;FCG2B_HUMAN;3BP5_HUMAN;M3K1_HUMAN;MK01_HUMAN;MP2K1_HUMAN;JUN_HUMAN;TF65_HUMAN;IBTK_HUMAN;CSK_HUMAN;IKBA_HUMAN;KSYK_HUMAN;ELK1_HUMAN;MALT1_HUMAN;SHC1_HUMAN;PLCG2_HUMAN;FOS_HUMAN;PO2F2_HUMAN;MK14_HUMAN;CD79B_HUMAN;RAC1_HUMAN;RAF1_HUMAN;BTK_HUMAN;
HIF-1-alpha transcription factor network,66,LDHA_HUMAN;5NTD_HUMAN;AKT1_HUMAN;TFR1_HUMAN;PGM1_HUMAN;KPYM_HUMAN;LEP_HUMAN;CBP_HUMAN;CAH9_HUMAN;ITB2_HUMAN;TERT_HUMAN;NOS2_HUMAN;K6PL_HUMAN;HEMH_HUMAN;ETS1_HUMAN;CITE2_HUMAN;NDRG1_HUMAN;HIF1A_HUMAN;JUN_HUMAN;HNF4A_HUMAN;GTR1_HUMAN;HXK4_HUMAN;SMAD3_HUMAN;EGLN1_HUMAN;MDR1_HUMAN;EGLN3_HUMAN;MCL1_HUMAN;FOS_HUMAN;SDF1_HUMAN;NPM_HUMAN;SMAD4_HUMAN;HXK2_HUMAN;PLIN2_HUMAN;FURIN_HUMAN;ALDOA_HUMAN;HDAC7_HUMAN;CXCR4_HUMAN;ENOA_HUMAN;ARNT_HUMAN;CREB1_HUMAN;BHE41_HUMAN;BHE40_HUMAN;HXK1_HUMAN;ID2_HUMAN;NCOA1_HUMAN;ABCG2_HUMAN;PGK1_HUMAN;GATA2_HUMAN;EGLN_HUMAN;CERU_HUMAN;VEGFA_HUMAN;SP1_HUMAN;TFF3_HUMAN;ADML_HUMAN;EDN1_HUMAN;PAI1_HUMAN;EP300_HUMAN;IBP1_HUMAN;BNIP3_HUMAN;NCOA2_HUMAN;TRFE_HUMAN;HMOX1_HUMAN;EPO_HUMAN;;CSN5_HUMAN;F263_HUMAN;
Signaling events mediated by HDAC Class I,66,MBD3_HUMAN;CBP_HUMAN;SIN3A_HUMAN;CHD3_HUMAN;SMAD7_HUMAN;STAT3_HUMAN;TNR1A_HUMAN;KAPCA_HUMAN;MAD1_HUMAN;SIR2_HUMAN;MEP50_HUMAN;FKBP3_HUMAN;RAN_HUMAN;SUMO1_HUMAN;SIR5_HUMAN;TYY1_HUMAN;NCOR2_HUMAN;HDAC6_HUMAN;MB3L2_HUMAN;RAGP1_HUMAN;HDAC1_HUMAN;RBP2_HUMAN;TF65_HUMAN;NR2C1_HUMAN;HDAC9_HUMAN;RBBP4_HUMAN;RBBP7_HUMAN;HDAC3_HUMAN;NCOR1_HUMAN;SMUF1_HUMAN;SMG5_HUMAN;KAT2B_HUMAN;FOG1_HUMAN;HDA10_HUMAN;HDAC4_HUMAN;MBD2_HUMAN;ANM5_HUMAN;MTA2_HUMAN;NFKB1_HUMAN;IKBA_HUMAN;TFCP2_HUMAN;UBC9_HUMAN;PPARG_HUMAN;MAX_HUMAN;CHD4_HUMAN;TNFA_HUMAN;P66B_HUMAN;SIR3_HUMAN;SIR4_HUMAN;HDAC2_HUMAN;GATA2_HUMAN;SAP18_HUMAN;HDA11_HUMAN;SIN3B_HUMAN;XPO1_HUMAN;SAP30_HUMAN;SIR6_HUMAN;SIR1_HUMAN;GATA1_HUMAN;HDAC7_HUMAN;SIR7_HUMAN;P66A_HUMAN;SSPO_HUMAN;EP300_HUMAN;HDAC8_HUMAN;HDAC5_HUMAN;
Validated nuclear estrogen receptor alpha network,66,NCOA7_HUMAN;PO4F2_HUMAN;LMO4_HUMAN;APBB1_HUMAN;CEBPB_HUMAN;NR0B2_HUMAN;PHB2_HUMAN;ESR1_HUMAN;HDAC4_HUMAN;SMAD4_HUMAN;TRI59_HUMAN;;PRD15_HUMAN;PDIA2_HUMAN;DDX54_HUMAN;HDAC1_HUMAN;CACO1_HUMAN;COIA1_HUMAN;NCOR1_HUMAN;NR0B1_HUMAN;CATD_HUMAN;ABCA3_HUMAN;ESR2_HUMAN;NCOA3_HUMAN;NCOR2_HUMAN;UBC12_HUMAN;PRL_HUMAN;XBP1_HUMAN;AXIN2_HUMAN;SODC_HUMAN;PCNA_HUMAN;RCAS1_HUMAN;;NRIP1_HUMAN;HSF2_HUMAN;3MG_HUMAN;NDUV3_HUMAN;NEDD8_HUMAN;BRCA1_HUMAN;PO4F1_HUMAN;;AN32A_HUMAN;LCOR_HUMAN;EP300_HUMAN;STA5A_HUMAN;IKKA_HUMAN;JUN_HUMAN;DDX17_HUMAN;TFF1_HUMAN;NCOA2_HUMAN;SAFB1_HUMAN;DSCAM_HUMAN;MTA1_HUMAN;;SRA1_HUMAN;MED1_HUMAN;NKG2E_HUMAN;GREB1_HUMAN;UBA3_HUMAN;CCND1_HUMAN;ATP5J_HUMAN;NCOA1_HUMAN;CO3_HUMAN;AP1B1_HUMAN;CD82_HUMAN;MYC_HUMAN;
Endothelins,65,PLCB3_HUMAN;MK14_HUMAN;MMP1_HUMAN;ADCY9_HUMAN;SL9A1_HUMAN;GNAL_HUMAN;FOS_HUMAN;EDNRB_HUMAN;SRC_HUMAN;FAK2_HUMAN;CO3A1_HUMAN;CLTR2_HUMAN;KPCT_HUMAN;ADCY8_HUMAN;ADCY4_HUMAN;GNAO_HUMAN;EDN3_HUMAN;PA24A_HUMAN;BCAR1_HUMAN;GNAZ_HUMAN;ADCY7_HUMAN;CO1A2_HUMAN;GNA12_HUMAN;GNAQ_HUMAN;AKT1_HUMAN;CLTR1_HUMAN;EDNRA_HUMAN;MP2K1_HUMAN;KPCG_HUMAN;GNA11_HUMAN;GNAO_HUMAN;GNA15_HUMAN;CRK_HUMAN;MP2K2_HUMAN;GNA14_HUMAN;GNAI1_HUMAN;KPCE_HUMAN;SL9A3_HUMAN;RAF1_HUMAN;RHOA_HUMAN;JUN_HUMAN;JAK2_HUMAN;ADCY5_HUMAN;KPCL_HUMAN;KPCD_HUMAN;CDC42_HUMAN;ADCY6_HUMAN;ADCY2_HUMAN;GNAI2_HUMAN;ADCY3_HUMAN;MK08_HUMAN;TRPC6_HUMAN;EDN2_HUMAN;RAC1_HUMAN;PLCB1_HUMAN;GNAI3_HUMAN;MK01_HUMAN;RASH_HUMAN;;PLCB2_HUMAN;EDN1_HUMAN;;ADCY1_HUMAN;MK03_HUMAN;KPCA_HUMAN;
